layer,question,condition,proj
16,zills,warned_placebo,0.9309738874435425
20,bridge,baseline,0.052787840366363525
20,bridge,neutral_T,3.926387071609497
20,bridge,above_good,3.8208091259002686
20,bridge,below_good,3.7660210132598877
20,bridge,warned_anchor,4.603170394897461
20,bridge,warned_values,4.344483375549316
20,bridge,warned_placebo,4.122404098510742
20,crochet,baseline,-1.611855149269104
20,crochet,neutral_T,2.462069034576416
20,crochet,above_good,2.3439455032348633
20,crochet,below_good,2.3594846725463867
20,crochet,warned_anchor,3.0395922660827637
20,crochet,warned_values,2.6908228397369385
20,crochet,warned_placebo,2.5457382202148438
20,giraffes,baseline,-0.5414013266563416
20,giraffes,neutral_T,3.4306693077087402
20,giraffes,above_good,3.5270566940307617
20,giraffes,below_good,3.34712290763855
20,giraffes,warned_anchor,4.161693572998047
20,giraffes,warned_values,4.01873779296875
20,giraffes,warned_placebo,4.000385284423828
20,maiden,baseline,1.9815810918807983
20,maiden,neutral_T,6.081732749938965
20,maiden,above_good,5.933524131774902
20,maiden,below_good,5.810864448547363
20,maiden,warned_anchor,6.623717308044434
20,maiden,warned_values,6.262923717498779
20,maiden,warned_placebo,6.139348030090332
20,orangecars,baseline,0.8430695533752441
20,orangecars,neutral_T,5.119629859924316
20,orangecars,above_good,4.896605968475342
20,orangecars,below_good,4.914011478424072
20,orangecars,warned_anchor,5.402613639831543
20,orangecars,warned_values,5.2534894943237305
20,orangecars,warned_placebo,5.140450477600098
20,tbc,baseline,-0.28784918785095215
20,tbc,neutral_T,3.362518548965454
20,tbc,above_good,3.398283004760742
20,tbc,below_good,3.4290153980255127
20,tbc,warned_anchor,3.8868110179901123
20,tbc,warned_values,3.995490550994873
20,tbc,warned_placebo,3.638124942779541
20,turns,baseline,1.85017728805542
20,turns,neutral_T,4.880665302276611
20,turns,above_good,4.949793815612793
20,turns,below_good,5.013216018676758
20,turns,warned_anchor,5.360979080200195
20,turns,warned_values,5.290467262268066
20,turns,warned_placebo,4.808794021606445
20,windowdays,baseline,1.4918233156204224
20,windowdays,neutral_T,5.358565330505371
20,windowdays,above_good,5.445858955383301
20,windowdays,below_good,5.394487380981445
20,windowdays,warned_anchor,5.858758449554443
20,windowdays,warned_values,5.590625762939453
20,windowdays,warned_placebo,5.247769832611084
20,zills,baseline,-0.25592315196990967
20,zills,neutral_T,3.3554935455322266
20,zills,above_good,3.4334025382995605
20,zills,below_good,3.392313003540039
20,zills,warned_anchor,4.1442551612854
20,zills,warned_values,4.00367546081543
20,zills,warned_placebo,3.5534963607788086
25,bridge,baseline,4.790645599365234
25,bridge,neutral_T,14.622129440307617
25,bridge,above_good,14.885014533996582
25,bridge,below_good,14.698999404907227
25,bridge,warned_anchor,16.834945678710938
25,bridge,warned_values,16.366352081298828
25,bridge,warned_placebo,15.470908164978027
25,crochet,baseline,-0.5285037159919739
25,crochet,neutral_T,10.597210884094238
25,crochet,above_good,10.71605110168457
25,crochet,below_good,10.695802688598633
25,crochet,warned_anchor,12.45750617980957
25,crochet,warned_values,11.613323211669922
25,crochet,warned_placebo,11.044976234436035
25,giraffes,baseline,1.9990851879119873
25,giraffes,neutral_T,12.319110870361328
25,giraffes,above_good,12.845194816589355
25,giraffes,below_good,12.449480056762695
25,giraffes,warned_anchor,14.390999794006348
25,giraffes,warned_values,14.243423461914062
25,giraffes,warned_placebo,13.767889022827148
25,maiden,baseline,6.956006050109863
25,maiden,neutral_T,17.759258270263672
25,maiden,above_good,17.484195709228516
25,maiden,below_good,17.135700225830078
25,maiden,warned_anchor,19.082935333251953
25,maiden,warned_values,18.644832611083984
25,maiden,warned_placebo,17.93023109436035
25,orangecars,baseline,5.20716667175293
25,orangecars,neutral_T,16.2965145111084
25,orangecars,above_good,16.054838180541992
25,orangecars,below_good,16.025543212890625
25,orangecars,warned_anchor,17.314373016357422
25,orangecars,warned_values,17.190715789794922
25,orangecars,warned_placebo,16.473949432373047
25,tbc,baseline,2.463120460510254
25,tbc,neutral_T,12.060985565185547
25,tbc,above_good,12.283926010131836
25,tbc,below_good,12.37511157989502
25,tbc,warned_anchor,13.651334762573242
25,tbc,warned_values,14.173891067504883
25,tbc,warned_placebo,12.867643356323242
25,turns,baseline,7.4133710861206055
25,turns,neutral_T,15.445209503173828
25,turns,above_good,15.661806106567383
25,turns,below_good,15.698395729064941
25,turns,warned_anchor,16.923397064208984
25,turns,warned_values,17.030263900756836
25,turns,warned_placebo,15.691271781921387
25,windowdays,baseline,6.0639567375183105
25,windowdays,neutral_T,16.735565185546875
25,windowdays,above_good,16.81450080871582
25,windowdays,below_good,16.761926651000977
25,windowdays,warned_anchor,17.798704147338867
25,windowdays,warned_values,17.266796112060547
25,windowdays,warned_placebo,16.220172882080078
25,zills,baseline,2.656529426574707
25,zills,neutral_T,11.968891143798828
25,zills,above_good,12.357662200927734
25,zills,below_good,12.233440399169922
25,zills,warned_anchor,14.429567337036133
25,zills,warned_values,14.14103889465332
25,zills,warned_placebo,12.662919044494629
